Rank,Company Name,Country,Number of Employees,Previous Rank,Revenues($millions),Revenue Change,Profits($millions),Profit Change,Assets($millions)
1,Walmart,USA,"2,300,000",1,"$485,873",0.8%,"$13,643.0 ",-7.2%,"$198,825"
2,State Grid,China,"926,067",2,"$315,199",-4.4%,"$9,571.3 ",-6.2%,"$489,838"
3,Sinopec Group,China,"713,288",4,"$267,518",-9.1%,"$1,257.9 ",-65.0%,"$310,726"
4,China National Petroleum,China,"1,512,048",3,"$262,573",-12.3%,"$1,867.5 ",-73.7%,"$585,619"
5,Toyota Motor,Japan,"364,445",8,"$254,694",7.7%,"$16,899.3 ",-12.3%,"$437,575"
6,Volkswagen,Germany,"626,715",7,"$240,264",1.5%,"$5,937.3 ",-,"$432,116"
7,Royal Dutch Shell,Netherlands,"89,000",5,"$240,033",-11.8%,"$4,575.0 ",135.9%,"$411,275"
8,Berkshire Hathaway,USA,"367,700",11,"$223,604",6.1%,"$24,074.0 ",-,"$620,854"
9,Apple,USA,"116,000",9,"$215,639",-7.7%,"$45,687.0 ",-14.4%,"$321,686"
10,Exxon Mobil,USA,"72,700",6,"$205,004",-16.7%,"$7,840.0 ",-51.5%,"$330,314"
11,McKesson,USA,"64,500",12,"$198,533",3.1%,"$5,070.0 ",124.5%,"$60,969"
12,BP,Britain,"74,500",10,"$186,606",-17.4%,$115.0 ,-,"$263,316"
13,UnitedHealth Group,USA,"230,000",17,"$184,840",17.7%,"$7,017.0 ",20.7%,"$122,810"
14,CVS Health,USA,"204,000",18,"$177,526",15.8%,"$5,317.0 ",1.5%,"$94,462"
15,Samsung Electronics,South Korea,"325,000",13,"$173,957",-2.0%,"$19,316.5 ",16.8%,"$217,104"
16,Glencore,Switzerland,"93,123",14,"$173,883",2.0%,"$1,379.0 ",-,"$124,600"
17,Daimler,Germany,"282,488",16,"$169,483",2.2%,"$9,428.4 ",0.9%,"$256,262"
18,General Motors,USA,"225,000",20,"$166,380",9.2%,"$9,427.0 ",-2.7%,"$221,690"
19,AT&T,USA,"268,540",23,"$163,786",11.6%,"$12,976.0 ",-2.8%,"$403,821"
20,EXOR Group,Italy,"302,562",19,"$154,894",1.5%,$651.3 ,-21.1%,"$186,172"
21,Ford Motor,USA,"201,000",21,"$151,800",1.5%,"$4,596.0 ",-37.7%,"$237,951"
22,Industrial & Commer. Bank of China,China,"461,749",15,"$147,675",-11.7%,"$41,883.9 ",-5.0%,"$3,473,238"
23,AmerisourceBergen,USA,"18,500",28,"$146,850",8.0%,"$1,427.9 ",-,"$33,656"
24,China State Construction Engineering,China,"263,915",27,"$144,505",3.1%,"$2,492.9 ",10.7%,"$201,269"
25,AXA,France,"97,707",33,"$143,722",11.2%,"$6,446.0 ",3.5%,"$941,556"
26,Amazon.com,USA,"341,400",44,"$135,987",27.1%,"$2,371.0 ",297.8%,"$83,402"
27,Hon Hai Precision Industry,Taiwan,"726,772",25,"$135,129",-4.3%,"$4,608.8 ",-0.4%,"$80,436"
28,China Construction Bank,China,"362,482",22,"$135,093",-8.7%,"$34,840.9 ",-4.0%,"$3,016,578"
29,Honda Motor,Japan,"211,915",36,"$129,198",6.2%,"$5,690.3 ",98.3%,"$170,165"
30,Total,France,"102,168",24,"$127,925",-10.8%,"$6,196.0 ",21.8%,"$230,978"
31,General Electric,USA,"295,000",26,"$126,661",-9.8%,"$8,831.0 ",-,"$365,183"
32,Verizon,USA,"160,900",30,"$125,980",-4.3%,"$13,127.0 ",-26.6%,"$244,180"
33,Japan Post Holdings,Japan,"248,384",37,"$122,990",3.6%,-$267.4 ,-107.5%,"$2,631,385"
34,Allianz,Germany,"140,253",34,"$122,196",-0.6%,"$7,611.5 ",3.7%,"$932,091"
35,Cardinal Health,USA,"37,300",50,"$121,546",18.5%,"$1,427.0 ",17.4%,"$34,122"
36,Costco,USA,"172,000",38,"$118,719",2.2%,"$2,350.0 ",-1.1%,"$33,163"
37,Walgreens,USA,"300,000",47,"$117,351",13.4%,"$4,173.0 ",-1.1%,"$72,688"
38,Agricultural Bank of China,China,"501,368",29,"$117,275",-12.1%,"$27,687.8 ",-3.6%,"$2,816,039"
39,Ping An Insurance,China,"318,588",41,"$116,581",5.7%,"$9,392.0 ",8.9%,"$802,490"
40,Kroger,USA,"443,000",42,"$115,337",5.0%,"$1,975.0 ",-3.1%,"$36,505"
41,SAIC Motor,China,"97,582",46,"$113,861",6.7%,"$4,818.2 ",1.6%,"$84,989"
42,Bank of China,China,"308,900",35,"$113,708",-7.1%,"$24,773.4 ",-8.9%,"$2,611,539"
43,BNP Paribas,France,"184,839",39,"$109,026",-2.2%,"$8,517.2 ",14.7%,"$2,190,423"
44,Nissan Motor,Japan,"137,250",53,"$108,164",6.5%,"$6,123.4 ",40.3%,"$165,344"
45,Chevron,USA,"55,200",31,"$107,567",-18.0%,-$497.0 ,-110.8%,"$260,078"
